episode,total_reward
471,-574.8130779032576
472,-594.9742663723423
473,-571.4411724331792
474,-604.2630620053708
475,-600.6702594331426
476,-622.4753691743268
477,-579.5363331799545
478,-585.3553695516625
479,-589.1537108339057
480,-562.3295131823537
481,-566.1570924734696
482,-576.7067665911122
483,-586.9696253753294
484,-582.1412643434718
485,-587.3630341512188
486,-574.7628546893757
487,-572.5089439691208
488,-563.7276254168963
489,-584.304086732322
490,-612.6795306166053
491,-589.8006529280481
492,-566.7452333909862
493,-570.1044706451005
494,-556.9726259528643
495,-584.7810661858921
496,-592.6480497985409
497,-576.4416182543266
498,-596.4934086508398
499,-564.0685503197204
500,-609.9493670482657
501,-592.6619436760468
502,-589.3497861227349
503,-566.1845384222147
504,-571.0485355604677
505,-596.8562828217807
506,-561.7837678732295
507,-579.1473515658399
508,-568.174119502196
509,-584.6757175974631
510,-564.5579254448339
511,-585.6461939278084
512,-589.1452038479924
513,-561.9218376376906
514,-592.1282937851435
515,-573.4234066559465
516,-576.2524595174721
517,-607.2096258710815
518,-591.3407904693174
519,-554.650499465635
520,-563.8761200340617
521,-593.151806182417
522,-580.2729486456095
523,-564.5535699399545
524,-573.5474540637771
525,-578.5371590777315
526,-586.6775960852217
527,-560.8112091706533
528,-574.8011898026766
529,-586.2508813924078
530,-592.9908782176211
531,-579.0294588989976
532,-600.9633710954713
533,-549.520702423039
534,-598.9260319968332
535,-568.9265990705295
536,-593.420952282457
537,-571.1574649605006
538,-634.0348553791953
539,-594.6705530322018
540,-570.4759932847763
541,-602.89595258404
542,-584.1089214929902
543,-582.548329883217
544,-592.7046568944913
545,-566.2117941553852
546,-579.6088995930355
547,-603.140721337563
548,-595.7825402499303
549,-610.0604957373104
550,-575.7236461420953
551,-574.3423804868199
552,-573.8001399269014
553,-598.7916829010352
554,-573.4377916668976
555,-562.176813261196
556,-580.6446511809116
557,-581.9550463376161
558,-579.5941268384595
559,-586.7322816360245
560,-586.8438575616103
561,-606.2248694727457
562,-584.9670716807256
563,-577.8484569938274
564,-576.2355289856725
565,-588.8289188754821
566,-603.2566305611441
567,-597.8134084985817
568,-591.6775478533397
569,-585.4537967184084
570,-580.5575063064913
571,-588.5320696032694
572,-580.8362156627818
573,-553.260218270858
574,-588.4233489246316
575,-583.3015638203251
576,-578.6155935241537
577,-595.756807558006
578,-576.4805171891387
579,-581.7816892742569
580,-582.6297342739942
581,-571.5836349088839
582,-595.512167397399
583,-570.9053764615262
584,-559.2516449376961
585,-581.8537666837578
586,-567.3321254435517
587,-600.9623507383482
588,-587.9275393294698
589,-582.6147729823226
590,-569.6638903583621
591,-577.4947185737176
592,-537.563778651106
593,-569.901075779455
594,-575.2252322068518
595,-603.341478123246
596,-554.0092732384385
597,-565.999415223363
598,-574.10681554718
599,-559.9036046836933
600,-589.3557021578778
601,-572.4727611273581
602,-573.7634032908732
603,-574.2140666236452
604,-577.4071980013966
605,-577.9835535593975
606,-577.5866235531543
607,-572.0539554184319
608,-562.8916026150121
609,-568.1691325156204
610,-588.1137163610991
611,-576.4547637002797
612,-556.5881520403775
613,-566.4832208991469
614,-570.8762687498071
615,-574.2129181401799
616,-586.7988223323226
617,-586.3263299354635
618,-561.8148638912384
619,-594.9966794644644
620,-571.6101182465412
621,-581.027640305537
622,-573.5637367455662
623,-626.0855319913682
624,-582.4461917003598
625,-577.8273322946552
626,-577.1362750726915
627,-616.4979394708462
628,-576.5554033583812
629,-550.1200012827718
630,-579.7249315421834
631,-572.3816289619471
632,-564.6730507746903
633,-573.2459581165297
634,-560.5339147758431
635,-566.6427491838725
636,-550.6880001225854
637,-575.6273958497702
638,-597.3255127939708
639,-568.2239663332858
640,-578.9111930643126
641,-593.5756884773247
642,-583.9795503828824
643,-570.2931114044299
644,-560.7696293599791
645,-570.3994533266167
646,-600.4435555933717
647,-586.8484475520513
648,-566.1004923265311
649,-587.4289378400356
650,-565.0279169337279
651,-576.6822616393363
652,-589.0016786265517
653,-596.3636305031658
654,-606.0242107502866
655,-566.1673035917185
656,-569.1442689481554
657,-590.2433751806857
658,-576.2614982584346
659,-585.3532513786203
660,-595.721314000253
661,-585.1183570390093
662,-599.7740645624332
663,-603.6380852108254
664,-572.5201926117362
665,-591.7682867970956
666,-600.7249975607804
667,-579.0761904016032
668,-572.1561761798032
669,-595.5799192862429
670,-584.5953795213785
671,-597.5297024397012
672,-573.5665238529442
673,-573.561087468227
674,-593.6911590176059
675,-596.587952494697
676,-596.6174215735961
677,-593.9479867595733
678,-559.375402151876
679,-590.2846268538824
680,-590.6023257277076
681,-577.8141240134742
682,-583.1805315239654
683,-586.684207055804
684,-582.7832456264804
